,0
0,West Pokot
1,Wajir
2,Uasin Gishu
3,Turkana
4,Trans Nzoia
5,Tharaka - Nithi
6,Tana River
7,Siaya
8,Samburu
9,Nairobi Area
10,Murang'A
11,Mombasa
12,Meru
13,Marsabit
14,Mandera
15,Laikipia
16,Kwale
17,Kitui
18,Kisumu
19,Kisii
20,Kirinyaga
21,Kilifi
22,Kiambu
23,Kericho
24,Kakamega
25,Isiolo
26,Garissa
27,Embu
28,Busia
29,Bungoma
30,Baringo
31,Nyandarua
32,Vihiga
33,Lamu
34,Machakos
35,Makueni
36,Elegeyo-Marakwet
37,Taita Taveta
38,Kajiado
39,Nyeri
40,Homa Bay
41,Bomet
42,Migori
43,Nakuru
44,Narok
45,Nyamira
46,Nandi
