,0
0,Uthai Thani
1,Trang
2,Tak
3,Surat Thani
4,Sukhothai
5,Ratchaburi
6,Ranong
7,Prachuap Khiri Khan
8,Phuket
9,Phetchaburi
10,Phang Nga
11,Mae Hong Son
12,Lamphun
13,Lampang
14,Krabi
15,Kanchanaburi
16,Kamphaeng Phet
17,Chumphon
18,Chiang Rai
19,Chiang Mai
20,Yasothon
21,Yala
22,Uttaradit
23,Trat
24,Surin
25,Suphanburi
26,Songkhla
27,Si Sa Ket
28,Sing Buri
29,Satun
30,Saraburi
31,Samut Songkhram
32,Samut Sakhon
33,Samut Prakan
34,Sakon Nakhon
35,Roi Et
36,Rayong
37,Phra Nakhon Si Ayutthaya
38,Phrae
39,Phitsanulok
40,Phichit
41,Phetchabun
42,Phayao
43,Phatthalung
44,Pattani
45,Pathum Thani
46,Nonthaburi
47,Nong Khai
48,Narathiwat
49,Nan
50,Nakhon Si Thammarat
51,Nakhon Sawan
52,Nakhon Ratchasima
53,Nakhon Phanom
54,Nakhon Pathom
55,Nakhon Nayok
56,Mukdahan
57,Maha Sarakham
58,Lopburi
59,Loei
60,Bangkok
61,Khon Kaen
62,Kalasin
63,Chon Buri
64,Chanthaburi
65,Chaiyaphum
66,Chai Nat
67,Chachoengsao
68,Buriram
69,Ang Thong
70,Udon Thani
71,Prachin Buri
72,Ubon Ratchathani
73,Amnat Charoen
74,Nong Bua Lam Phu
75,Sa Kaeo
76,Bueng Kan
